@RELATION wfshell

@ATTRIBUTE crashtime  DATE "yyyy-MM-dd HH:mm:ss"
@ATTRIBUTE crashcount   NUMERIC

@DATA
"2023-11-11 15:07:00","1"
"2023-11-11 16:07:00","1"
"2023-11-11 17:07:00","1"
"2023-11-11 18:07:00","1"
"2023-11-11 19:07:00","77"
"2023-11-11 20:07:00","5"
"2023-11-11 21:07:00","6"
"2023-11-11 22:07:00","1"
"2023-11-11 23:07:00","2"
"2023-11-12 00:07:00","1"
"2023-11-12 01:07:00","1"
"2023-11-12 02:07:00","1"
"2023-11-12 03:07:00","1"
"2023-11-12 04:07:00","1"
"2023-11-12 05:07:00","1"
"2023-11-12 06:07:00","1"
"2023-11-12 07:07:00","1"
"2023-11-12 08:07:00","1"
"2023-11-12 09:07:00","1"
"2023-11-12 10:07:00","1"
"2023-11-12 11:07:00","1"
"2023-11-12 12:07:00","1"
"2023-11-12 13:07:00","1"
"2023-11-12 14:07:00","1"
"2023-11-12 15:07:00","1"
"2023-11-12 16:07:00","1"
"2023-11-12 17:07:00","1"
"2023-11-12 18:07:00","1"
"2023-11-12 19:07:00","95"
"2023-11-12 20:07:00","7"
"2023-11-12 21:07:00","7"
"2023-11-12 22:07:00","1"
"2023-11-12 23:07:00","1"
"2023-11-13 00:07:00","1"
"2023-11-13 01:07:00","1"
"2023-11-13 02:07:00","1"
"2023-11-13 03:07:00","1"
"2023-11-13 04:07:00","1"
"2023-11-13 05:07:00","1"
"2023-11-13 06:07:00","1"
"2023-11-13 07:07:00","1"
"2023-11-13 08:07:00","1"
"2023-11-13 09:07:00","1"
"2023-11-13 10:07:00","1"
"2023-11-13 11:07:00","1"
"2023-11-13 12:07:00","1"
"2023-11-13 13:07:00","1"
"2023-11-13 14:07:00","1"
"2023-11-13 15:07:00","1"
"2023-11-13 16:07:00","1"
"2023-11-13 17:07:00","1"
"2023-11-13 18:07:00","1"
"2023-11-13 19:07:00","73"
"2023-11-13 20:07:00","6"
"2023-11-13 21:07:00","1"
"2023-11-13 22:07:00","1"
"2023-11-13 23:07:00","1"
"2023-11-14 00:07:00","1"
"2023-11-14 01:07:00","1"
"2023-11-14 02:07:00","1"
"2023-11-14 03:07:00","1"
"2023-11-14 04:07:00","1"
"2023-11-14 05:07:00","1"
"2023-11-14 06:07:00","1"
"2023-11-14 07:07:00","1"
"2023-11-14 08:07:00","1"
"2023-11-14 09:07:00","1"
"2023-11-14 10:07:00","1"
"2023-11-14 11:07:00","1"
"2023-11-14 12:07:00","1"
"2023-11-14 13:07:00","1"
"2023-11-14 14:07:00","1"
"2023-11-14 15:07:00","1"
"2023-11-14 16:07:00","1"
"2023-11-14 17:07:00","1"
"2023-11-14 18:07:00","1"
"2023-11-14 19:07:00","81"
"2023-11-14 20:07:00","6"
"2023-11-14 21:07:00","4"
