@RELATION zscaler

@ATTRIBUTE crashtime  DATE "yyyy-MM-dd HH:mm:ss"
@ATTRIBUTE crashcount   NUMERIC

@DATA
"2023-11-26 04:40:00","1"
"2023-11-26 05:40:00","1"
"2023-11-26 06:40:00","1"
"2023-11-26 07:40:00","1"
"2023-11-26 08:40:00","1"
"2023-11-26 09:40:00","1"
"2023-11-26 10:40:00","1"
"2023-11-26 11:40:00","1"
"2023-11-26 12:40:00","1"
"2023-11-26 13:40:00","1"
"2023-11-26 14:40:00","1"
"2023-11-26 15:40:00","1"
"2023-11-26 16:40:00","1"
"2023-11-26 17:40:00","1"
"2023-11-26 18:40:00","1"
"2023-11-26 19:40:00","1"
"2023-11-26 20:40:00","1"
"2023-11-26 21:40:00","1"
"2023-11-26 22:40:00","1"
"2023-11-26 23:40:00","1"
"2023-11-27 00:40:00","1"
"2023-11-27 01:40:00","1"
"2023-11-27 02:40:00","1"
"2023-11-27 03:40:00","1"
"2023-11-27 04:40:00","1"
"2023-11-27 05:40:00","1"
"2023-11-27 06:40:00","1"
"2023-11-27 07:40:00","1"
"2023-11-27 08:40:00","1"
"2023-11-27 09:40:00","1"
"2023-11-27 10:40:00","1"
"2023-11-27 11:40:00","1"
"2023-11-27 12:40:00","1"
"2023-11-27 13:40:00","1"
"2023-11-27 14:40:00","1"
"2023-11-27 15:40:00","1"
"2023-11-27 16:40:00","1"
"2023-11-27 17:40:00","1"
"2023-11-27 18:40:00","1"
"2023-11-27 19:40:00","1"
"2023-11-27 20:40:00","1"
"2023-11-27 21:40:00","1"
"2023-11-27 22:40:00","1"
"2023-11-27 23:40:00","1"
"2023-11-28 00:40:00","1"
"2023-11-28 01:40:00","1"
"2023-11-28 02:40:00","1"
"2023-11-28 03:40:00","1"
"2023-11-28 04:40:00","1"
"2023-11-28 05:40:00","1"
"2023-11-28 06:40:00","1"
"2023-11-28 07:40:00","1"
"2023-11-28 08:40:00","1"
"2023-11-28 09:40:00","1"
"2023-11-28 10:40:00","1"
"2023-11-28 11:40:00","1"
"2023-11-28 12:40:00","1"
"2023-11-28 13:40:00","1"
"2023-11-28 14:40:00","1"
"2023-11-28 15:40:00","1"
"2023-11-28 16:40:00","1"
"2023-11-28 17:40:00","1"
"2023-11-28 18:40:00","1"
"2023-11-28 19:40:00","1"
"2023-11-28 20:40:00","1"
"2023-11-28 21:40:00","1"
"2023-11-28 22:40:00","1"
"2023-11-28 23:40:00","1"
"2023-11-29 00:40:00","1"
"2023-11-29 01:40:00","1"
"2023-11-29 02:40:00","1"
"2023-11-29 03:40:00","1"
"2023-11-29 04:40:00","1"
"2023-11-29 05:40:00","1"
"2023-11-29 06:40:00","1"
"2023-11-29 07:40:00","1"
"2023-11-29 08:40:00","1"
"2023-11-29 09:40:00","1"
"2023-11-29 10:40:00","1"
"2023-11-29 11:40:00","1"
"2023-11-29 12:40:00","1"
"2023-11-29 13:40:00","1"
